village_name,population,latitude,longitude,district
Chungthang,3500,27.8200,88.6500,Sikkim
Dikchu,2800,27.7800,88.6200,Sikkim
Mangan,4500,27.7500,88.5800,Sikkim
Lachen,1200,27.7000,88.5500,Sikkim
Kedarnath,850,30.7353,79.0669,Uttarakhand
Rudraprayag,3200,30.2833,78.9833,Uttarakhand
Guptkashi,2100,30.5500,79.0833,Uttarakhand
Gaurikund,1500,30.7167,79.0667,Uttarakhand
Namche Bazaar,1800,27.8044,86.7150,Nepal
Lukla,1200,27.6878,86.7314,Nepal
Phakding,800,27.7417,86.7139,Nepal
Dingboche,450,27.9000,86.8333,Nepal
